Date,Version,Downloads
10/07/2017,8.4.9.271,5645
01/08/2017,8.4.11.1283,5699
17/08/2017,8.4.14.439,1668
23/08/2017,8.4.16.781,2597
30/08/2017,8.4.17.640,4826
07/09/2017,8.4.18.743,2742
18/09/2017,8.4.19.792,3115
29/09/2017,8.4.21.508,3228
06/10/2017,8.4.22.857,4235
16/10/2017,8.4.23.784,2735
20/10/2017,8.4.24.871,4493
30/10/2017,8.4.25.771,3783
06/11/2017,8.4.26.770,6245
20/11/2017,8.4.28.875,2955
29/11/2017,8.4.29.289,1732
01/12/2017,8.4.30.688,5307
11/12/2017,8.4.31.723,4456
18/12/2017,8.4.32.623,7877
12/01/2018,8.4.35.152,1328
19/01/2018,8.4.36.321,788
22/01/2018,8.4.37.587,1427
26/01/2018,8.4.38.621,3969
06/02/2018,8.4.39.673,2674
02/03/2018,8.4.42.722,1899
04/03/2018,8.4.43.632,3893
15/03/2018,8.4.45.633,1949
26/03/2018,8.4.46.575,1018
10/04/2018,8.4.48.497,528
11/04/2018,8.4.49.462,1359
25/04/2018,8.4.51.899,784
30/04/2018,8.4.52.812,1285
09/05/2018,8.4.53.703,489
17/05/2018,8.4.54.536,772
25/05/2018,8.4.55.521,846
30/05/2018,8.4.56.803,667
05/06/2018,8.4.57.803,1414
27/06/2018,8.4.60.741,571
02/07/2018,8.4.61.683,355
11/07/2018,8.4.62.490,372
18/07/2018,8.4.63.584,737
24/07/2018,8.4.64.555,844
08/08/2018,8.4.66.733,638
15/08/2018,8.4.67.886,412
24/08/2018,8.4.68.911,937
05/09/2018,8.4.70.666,816
25/09/2018,8.4.72.845,801
03/10/2018,8.4.74.463,344
12/10/2018,8.4.75.670,430
25/10/2018,8.4.77.779,815
01/11/2018,8.4.78.530,181
08/11/2018,8.4.79.630,308
15/11/2018,8.4.80.739,168
21/11/2018,8.4.81.558,167
27/11/2018,8.4.82.664,247
05/12/2018,8.4.83.625,309
11/12/2018,8.4.84.874,1070
16/01/2019,8.4.89.515,216
21/01/2019,8.4.90.722,133
29/01/2019,8.4.91.861,322
06/02/2019,8.4.92.949,307
20/02/2019,8.4.94.817,231
27/02/2019,8.4.95.785,116
06/03/2019,8.4.96.953,99
14/03/2019,8.4.97.807,341
29/03/2019,8.4.98.892,205
03/04/2019,8.5.0.735,128
09/04/2019,8.5.1.734,196
15/04/2019,8.5.2.759,172
26/04/2019,8.5.3.716,142
02/05/2019,8.5.4.770,127
07/05/2019,8.5.5.853,137
13/05/2019,8.5.6.673,216
21/05/2019,8.5.7.999,237
29/05/2019,8.5.8.567,384
05/06/2019,8.5.9.737,219
11/06/2019,8.5.10.774,240
19/06/2019,8.5.11.762,73
25/06/2019,8.5.12.758,167
02/07/2019,8.5.13.637,86
08/07/2019,8.5.14.752,221
17/07/2019,8.5.15.885,115
22/07/2019,8.5.16.781,284
29/07/2019,8.5.17.676,298
07/08/2019,8.5.18.932,324
21/08/2019,8.5.20.857,285
27/08/2019,8.5.21.754,205
05/09/2019,8.5.22.734,145
09/09/2019,8.5.23.686,243
18/09/2019,8.5.24.762,237
30/09/2019,8.5.25.894,132
08/10/2019,8.5.27.957,176
14/10/2019,8.5.28.985,143
22/10/2019,8.5.29.828,156
29/10/2019,8.5.30.579,246
11/11/2019,8.5.32.889,445
22/11/2019,8.5.33.831,398
13/12/2019,8.5.36.747,272
08/01/2020,8.5.40.195,130
15/01/2020,8.5.41.531,74
21/01/2020,8.5.42.812,116
29/01/2020,8.5.43.724,110
06/02/2020,8.5.44.941,137
12/02/2020,8.5.45.620,135
19/02/2020,8.5.46.859,107
26/02/2020,8.5.47.1006,171
05/03/2020,8.5.48.1049,176
10/03/2020,8.5.49.973,149
17/03/2020,8.5.50.916,186
24/03/2020,8.5.51.941,241
15/04/2020,8.5.54.869,125
22/04/2020,8.5.55.1105,62
29/04/2020,8.5.56.1186,83
06/05/2020,8.5.57.1164,129
13/05/2020,8.5.58.954,119
19/05/2020,8.5.59.1137,71
27/05/2020,8.5.60.1013,174
10/06/2020,8.5.62.904,137
17/06/2020,8.5.63.941,105
23/06/2020,8.5.64.1046,190
08/07/2020,8.5.66.1002,193
21/07/2020,8.5.68.904,174
29/07/2020,8.5.69.834,58
05/08/2020,8.5.70.868,130
11/08/2020,8.5.71.723,141
18/08/2020,8.5.72.800,95
25/08/2020,8.5.73.824,81
01/09/2020,8.5.74.834,132
07/09/2020,8.5.75.766,83
14/09/2020,8.5.76.962,222
21/09/2020,8.5.77.1043,59
06/10/2020,8.5.79.1061,45
12/10/2020,8.5.80.1037,60
19/10/2020,8.5.81.991,65
26/10/2020,8.5.82.894,134
04/11/2020,8.5.83.1075,103
16/11/2020,8.5.85.894,119
25/11/2020,8.5.86.854,210
02/12/2020,8.5.87.921,80
08/12/2020,8.5.88.883,183
15/12/2020,8.5.89.901,328
12/01/2021,8.5.93.445,116
19/01/2021,8.5.94.839,88
26/01/2021,8.5.96.936,149
01/02/2021,8.5.98.984,166
09/02/2021,8.6.0.830,93
15/02/2021,8.6.2.774,122
25/02/2021,8.6.4.971,126
08/03/2021,8.6.8.1094,200
23/03/2021,8.6.12.986,90
29/03/2021,8.6.14.975,149
07/04/2021,8.6.16.1041,163
12/04/2021,8.6.18.720,383
19/04/2021,8.6.20.1063,1414
03/05/2021,8.6.24.918,70
07/05/2021,8.6.26.897,160
17/05/2021,8.6.28.700,115
25/05/2021,8.6.30.889,97
01/06/2021,8.6.32.925,70
09/06/2021,8.6.34.749,56
17/06/2021,8.6.36.1070,132
29/06/2021,8.6.40.929,72
05/07/2021,8.6.42.671,57
12/07/2021,8.6.44.851,50
20/07/2021,8.6.46.886,32
26/07/2021,8.6.48.792,32
29/07/2021,8.6.48.796,67
10/08/2021,8.6.52.911,180
16/08/2021,8.6.54.818,47
23/08/2021,8.6.54.820,35
24/08/2021,8.6.56.867,44
31/08/2021,8.6.58.994,38
07/09/2021,8.6.60.1126,48
14/09/2021,8.6.62.1029,46
20/09/2021,8.6.64.1081,87
04/10/2021,8.6.68.1225,51
12/10/2021,8.6.70.1102,60
19/10/2021,8.6.72.1121,31
26/10/2021,8.6.74.1176,52
12/11/2021,8.6.78.266,48
18/11/2021,8.6.80.1014,62
23/11/2021,8.6.82.1113,53
02/12/2021,8.6.84.1240,57
07/12/2021,8.6.86.1231,77
14/12/2021,8.6.88.1104,72
04/01/2022,8.6.94.306,39
09/01/2022,8.6.96.422,26
17/01/2022,8.6.98.900,93
25/01/2022,8.7.0.1147,45
01/02/2022,8.7.2.1205,39
08/02/2022,8.7.4.1056,21
16/02/2022,8.7.6.1081,25
17/02/2022,8.7.6.1087,35
21/02/2022,8.7.8.1206,75
07/03/2022,8.7.10.1262,53
16/03/2022,8.7.14.1332,34
22/03/2022,8.7.16.1354,44
29/03/2022,8.7.18.1138,45
05/04/2022,8.7.20.1261,85
13/04/2022,8.7.22.1125,299
21/04/2022,8.7.24.1111,28
26/04/2022,8.7.26.901,59
02/05/2022,8.7.28.1217,109
10/05/2022,8.7.30.1221,163
21/07/2022,8.7.48.1062,74
05/08/2022,8.7.54.403,103
18/09/2022,8.7.66.534,58
02/10/2022,8.7.70.553,61
20/10/2022,8.7.76.359,107
18/11/2022,8.7.84.382,147
26/12/2022,8.7.92.521,275
14/04/2023,8.8.26.408,57
25/04/2023,8.8.28.409,52
03/05/2023,8.8.32.508,72
15/05/2023,8.8.36.521,54
30/05/2023,8.8.38.444,63
06/06/2023,8.8.42.468,55
20/06/2023,8.8.44.527,62
27/06/2023,8.8.46.529,67
17/07/2023,8.8.54.481,84
02/08/2023,8.8.56.538,320
25/09/2023,8.8.72.630,163
24/10/2023,8.8.80.599,141
26/10/2023,8.8.82.634,85
14/11/2023,8.8.88.397,95
28/11/2023,8.8.90.893,186
13/12/2023,8.8.96.364,165
15/01/2024,8.9.4.304,56
22/01/2024,8.9.6.458,111
14/02/2024,8.9.14.543,79
27/02/2024,8.9.18.512,64
12/03/2024,8.9.20.574,28
19/03/2024,8.9.22.539,30
