Year,Quarter,Downloads,Sum
2017,3,29520,29520
2017,4,43818,73338
2018,1,18945,92283
2018,2,8715,100998
2018,3,5912,106910
2018,4,4039,110949
2019,1,1970,112919
2019,2,2438,115357
2019,3,2575,117932
2019,4,1836,119768
2020,1,1732,121500
2020,2,1195,122695
2020,3,1368,124063
2020,4,1327,125390
2021,1,1299,126689
2021,2,2732,129421
2021,3,763,130184
2021,4,563,130747
2022,1,574,131321
2022,2,743,132064
2022,3,235,132299
2022,4,590,132889
2023,1,482,133371
2023,2,567,133938
2023,3,672,134610
2023,4,56,134666
