Index,Year,Quarter,Total Revenue,Cost of Revenue,Gross Profit,Premium Revenue,Premium Cost Revenue,Premium Gross Profit,Ad Revenue,Ad Cost of revenue,Ad Gross Profit,MAUs,Premium MAUs,Ad MAUs,Premium ARPU,Sales and Marketing Cost,Research and Development Cost,Genreal and Adminstraive Cost,Apk Downloads,Apk Sum
Year,1.0,-0.11805463492912506,0.9611597943077871,0.9706599826695815,0.8951058992630759,0.9788516410403143,0.9773465917757436,0.9783229231033836,0.8781014356961218,0.9217124580966226,-0.1275012466885336,0.9763460733456928,0.9854736976158488,0.9670451569079334,-0.7170566609429515,0.8963739655441572,0.9111033093815873,0.8673913782927762,-0.6499034813828641,0.7897536320621666
Quarter,-0.11805463492912506,1.0,0.12658388992702657,0.09450438008492085,0.21232427544212534,0.06636878443315215,0.06488850592736563,0.06943702510664969,0.30304051296857415,0.20844259778593552,0.6516613243749794,0.05729784721929526,0.0486425012087537,0.05687446471545721,0.26603232514373326,0.20432221981427295,0.045293294500297794,-0.03692444376913635,0.14704430598342927,-0.07583140860901766
Total Revenue,0.9611597943077871,0.12658388992702657,1.0,0.9965074655010777,0.9697083029579955,0.9949435746329567,0.9943857634085808,0.9922170458337114,0.9633755539638921,0.9810387326248629,0.05161561573858885,0.9888725502768326,0.9867369222212191,0.9847117702495921,-0.5653073088090692,0.9530628879215088,0.9388312291614798,0.8681292341909261,-0.5383976913450936,0.7276018708490595
Cost of Revenue,0.9706599826695815,0.09450438008492085,0.9965074655010777,1.0,0.9459408530958238,0.9982470594118427,0.9987236608634757,0.9931775761006467,0.9579331336330003,0.9812650682436966,0.014651202034681366,0.9912487770997694,0.9899804903650022,0.9867770208525619,-0.5876802154649774,0.9550771793781077,0.9426715697871484,0.8776739040712752,-0.580460087381581,0.7353087967444397
Gross Profit,0.8951058992630759,0.21232427544212534,0.9697083029579955,0.9459408530958238,1.0,0.9451140389463317,0.9415758487695889,0.949299466908721,0.9393331999530524,0.9401116420587613,0.15489046882389754,0.9421991310520825,0.9374375429581903,0.9391896587624583,-0.47726754699049645,0.9079349586160589,0.8907969025295919,0.8046987314235382,-0.3930098449924807,0.675252682630036
Premium Revenue,0.9788516410403143,0.06636878443315215,0.9949435746329567,0.9982470594118427,0.9451140389463317,1.0,0.9994539061282306,0.9972268397741585,0.9457913348039786,0.9701557086427745,0.006214125398588837,0.9925937638590606,0.9939969432372707,0.9865509963494122,-0.612906339692858,0.9455631995732188,0.9385597810319711,0.8731173924989902,-0.6034842970407645,0.7567777016660363
Premium Cost Revenue,0.9773465917757436,0.06488850592736563,0.9943857634085808,0.9987236608634757,0.9415758487695889,0.9994539061282306,1.0,0.9942230791198419,0.9441265821826478,0.970315189798185,-0.005664533986219343,0.9918205275602924,0.9916471513119133,0.9868116595080185,-0.603071780819966,0.9470215919506633,0.9409956940064563,0.8755226326126186,-0.5977903929805949,0.7483089472505453
Premium Gross Profit,0.9783229231033836,0.06943702510664969,0.9922170458337114,0.9931775761006467,0.949299466908721,0.9972268397741585,0.9942230791198419,1.0,0.945754648074487,0.9659129037898774,0.03294266664393783,0.9903618273538748,0.9953101481168392,0.982014675073999,-0.6326024645935003,0.9384933999776821,0.9293164201298785,0.8642050853411757,-0.6138924517604548,0.7728217977156768
Ad Revenue,0.8781014356961218,0.30304051296857415,0.9633755539638921,0.9579331336330003,0.9393331999530524,0.9457913348039786,0.9441265821826478,0.945754648074487,1.0,0.9883031483984969,0.2437906086035329,0.9400264532600054,0.9327367709097942,0.9381502865484576,-0.4616021957295156,0.9369473108628084,0.8858418036474779,0.8092414697377525,-0.476508053643737,0.6430420653316163
Ad Cost of revenue,0.9217124580966226,0.20844259778593552,0.9810387326248629,0.9812650682436966,0.9401116420587613,0.9701557086427745,0.970315189798185,0.9659129037898774,0.9883031483984969,1.0,0.09304400884520414,0.965567027286762,0.9601852442200279,0.9632204055409328,-0.5136321249687856,0.9622936912996983,0.9257967317127291,0.8612385691346717,-0.5035882555980433,0.6702830989068204
